age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
41,25,445000,0.026,0.014,80.919586591843
18,25,370000,0.014,0.008,12.647307827592142
25,15,385000,0.03,0.009,13.995999850550561
41,15,460000,0.006,0.015,55.09354607802153
28,15,275000,0.027,0.019,11.640844512417338
34,20,455000,0.038,0.007,39.598368547093386
25,10,180000,0.012,0.012,5.721444432498562
52,5,535000,0.01,0.009,109.48198039301445
52,15,295000,0.044,0.013,87.7474131091129
50,5,130000,0.039,0.007,23.716746248067366
22,5,160000,0.017,0.009,4.722811350494288
59,5,410000,0.013,0.016,136.30096677622174
56,15,205000,0.018,0.017,77.1366221292438
58,15,160000,0.022,0.014,71.16482215261327
45,10,460000,0.038,0.019,69.70222255895095
24,15,390000,0.015,0.015,13.323543324602026
26,15,270000,0.034,0.016,10.456394212803932
25,5,195000,0.042,0.01,6.011222626124586
29,10,525000,0.02,0.008,19.47209136355797
51,25,230000,0.006,0.015,81.25779210758915
50,15,310000,0.038,0.019,79.36680322232044
40,15,485000,0.033,0.02,57.63632729051385
41,25,170000,0.011,0.012,28.727161048492828
54,5,390000,0.029,0.013,93.10506004890478
52,10,95000,0.038,0.01,23.25841369449721
57,5,445000,0.012,0.015,127.95997568856104
39,20,360000,0.014,0.016,44.303447589409416
44,15,60000,0.013,0.006,9.24737567715602
52,20,380000,0.045,0.018,139.56180010916393
18,15,150000,0.014,0.013,4.441509762520007
52,20,520000,0.016,0.014,171.92363265733633
54,25,85000,0.007,0.008,38.1733358752123
31,15,500000,0.044,0.005,26.820983356768114
20,15,490000,0.015,0.019,15.562481633409408
18,20,510000,0.034,0.019,17.34543527222821
22,10,470000,0.006,0.017,14.226271895983283
43,20,430000,0.036,0.012,78.7934216310575
31,15,210000,0.035,0.01,11.050449167203796
56,15,155000,0.008,0.007,56.06623571914618
44,10,50000,0.01,0.006,6.575134401237446
26,5,305000,0.017,0.012,9.424314720417797
32,10,50000,0.019,0.017,2.254779227749498
32,5,285000,0.036,0.016,11.108094325107107
43,15,280000,0.007,0.016,39.757795203851764
59,25,545000,0.031,0.007,421.5212978162697
30,25,365000,0.014,0.018,25.499004878266398
49,20,380000,0.02,0.017,102.38824325826526
56,10,260000,0.005,0.006,79.04289561336567
49,10,60000,0.017,0.01,11.551459350012536
21,25,340000,0.012,0.011,13.160901896361082
47,5,145000,0.025,0.016,21.361811562003204
54,10,160000,0.011,0.018,43.284769634412285
40,5,500000,0.038,0.011,38.99152920533007
56,5,280000,0.04,0.007,76.64745980870379
32,5,410000,0.039,0.006,15.917709046411536
60,5,435000,0.044,0.015,160.1117321965759
46,20,280000,0.042,0.012,65.30648298368641
53,20,240000,0.016,0.019,86.08552027267217
30,25,255000,0.018,0.019,18.18110934688624
49,20,100000,0.026,0.018,27.55618882739606
24,10,185000,0.02,0.006,5.7842347638218286
39,20,180000,0.044,0.009,24.607241976563813
45,10,210000,0.019,0.009,30.475864603759174
19,10,75000,0.035,0.006,2.252670631365446
59,5,490000,0.028,0.019,165.26888795960906
23,25,260000,0.043,0.018,12.779824905861034
45,5,215000,0.035,0.011,27.254651527010438
45,5,340000,0.017,0.019,42.66422835450172
37,20,175000,0.013,0.013,18.022757559885395
47,20,385000,0.039,0.012,95.5073921680921
28,10,245000,0.041,0.013,9.03851519469098
45,20,360000,0.038,0.011,76.98124553114181
42,20,190000,0.034,0.009,31.92399298916688
56,15,295000,0.018,0.008,109.86922247625337
50,10,275000,0.025,0.012,57.58937770569373
18,10,295000,0.042,0.013,8.686905374602231
44,15,195000,0.01,0.017,30.235106835577177
30,10,320000,0.025,0.012,12.682779435761098
58,25,105000,0.019,0.017,70.20004040259012
20,25,385000,0.032,0.019,15.79280564425601
56,15,265000,0.03,0.016,102.83352643893168
23,20,140000,0.027,0.007,5.341575689669887
25,25,505000,0.016,0.012,24.699438821149904
44,15,375000,0.011,0.018,58.37871231941772
26,25,200000,0.036,0.012,11.494879419700734
54,5,345000,0.045,0.017,83.66471814961366
50,15,215000,0.012,0.017,51.32622336259802
59,10,310000,0.008,0.007,119.36103325382727
41,25,545000,0.035,0.01,103.01219569732388
32,10,465000,0.019,0.016,20.947687942887367
49,15,415000,0.014,0.007,91.69385939123204
49,25,515000,0.026,0.011,171.3443399020149
41,10,130000,0.032,0.007,13.692611452722693
58,20,370000,0.014,0.009,195.31530292181037
29,20,230000,0.045,0.009,13.49091825470602
56,5,420000,0.018,0.013,113.32687630641206
19,15,390000,0.018,0.019,12.208403286871432
20,10,405000,0.022,0.011,12.256243559036722
54,5,195000,0.035,0.018,46.933602980376804
34,15,120000,0.04,0.015,8.35158961409858
19,20,490000,0.018,0.017,16.380154443861226
19,10,405000,0.01,0.016,11.858709883283266
45,25,130000,0.015,0.01,30.376363107581014
40,20,445000,0.008,0.009,57.7300211968323
54,25,195000,0.03,0.02,98.0692842021929
49,25,545000,0.035,0.016,189.11760318177102
50,10,115000,0.022,0.01,23.905771349139442
18,10,315000,0.043,0.013,9.29035506728205
36,25,355000,0.034,0.017,44.832072720249535
19,5,375000,0.02,0.006,10.622626020787004
43,25,320000,0.009,0.006,62.14102988414527
49,25,65000,0.025,0.005,21.457987361595794
23,10,450000,0.025,0.007,13.97982510597417
49,15,85000,0.027,0.007,19.451513350947284
21,20,175000,0.032,0.012,6.399684919020732
28,10,70000,0.016,0.009,2.465188089386745
34,5,325000,0.005,0.006,14.181286426575909
55,20,470000,0.038,0.012,212.1810008801906
41,10,270000,0.038,0.014,28.928517134028226
22,10,145000,0.041,0.011,4.598369997721833
51,15,180000,0.044,0.009,49.624858095091724
23,5,60000,0.011,0.011,1.7664796642370355
39,5,395000,0.019,0.013,27.3400190807079
28,10,275000,0.039,0.012,10.100438981170024
33,15,430000,0.042,0.006,27.271399837587687
50,10,170000,0.006,0.012,34.43689280479647
26,25,160000,0.021,0.016,8.595191281397986
23,25,380000,0.01,0.017,16.163444559168184
33,15,285000,0.037,0.012,17.92381207409367
46,10,335000,0.035,0.02,54.49795041125152
20,15,405000,0.035,0.018,13.439309178850998
37,10,360000,0.021,0.008,25.13071493257588
53,10,85000,0.021,0.012,21.694633051407383
36,25,540000,0.015,0.009,62.07760432345427
43,20,550000,0.019,0.013,94.91458536781818
20,5,145000,0.044,0.008,4.331990320250998
36,5,360000,0.007,0.006,18.491556750779175
37,15,430000,0.018,0.019,37.257646618527716
49,5,465000,0.037,0.013,79.40536187379551
24,25,485000,0.02,0.019,22.88988069775042
58,20,545000,0.043,0.007,319.58714493671096
50,10,525000,0.018,0.007,108.01301153681538
57,10,285000,0.039,0.008,99.22356369780414
56,25,475000,0.038,0.012,291.9578584178621
35,5,105000,0.005,0.018,4.991848755779747
57,10,480000,0.021,0.015,163.18340009932308
18,5,405000,0.016,0.006,10.64498862217154
28,25,265000,0.024,0.011,16.6419432554196
45,10,150000,0.024,0.016,22.124931377945003
42,15,70000,0.041,0.01,9.978840939392441
40,20,85000,0.012,0.012,11.240392803853704
48,5,220000,0.012,0.016,34.41077283204312
47,5,305000,0.009,0.019,44.419104649941886
59,5,365000,0.035,0.01,123.13111265020706
52,5,305000,0.042,0.016,64.3936679383793
24,25,85000,0.02,0.016,3.9993925972442135
33,25,405000,0.007,0.013,34.847935082019724
43,25,390000,0.011,0.017,77.28785562327822
19,25,550000,0.009,0.013,19.45802769385372
18,10,295000,0.029,0.014,8.520930574890306
29,25,160000,0.016,0.018,10.44372639935221
22,10,540000,0.041,0.012,17.148690304950016
54,15,505000,0.011,0.012,159.256592037087
49,25,425000,0.042,0.014,151.8631663310814
26,15,405000,0.018,0.017,15.091243805284414
58,25,80000,0.04,0.007,58.969782888455555
52,15,110000,0.043,0.017,32.78099171558489
36,20,470000,0.044,0.009,49.79943820029479
33,15,190000,0.037,0.006,11.886123893492751
20,10,540000,0.009,0.017,16.14980941171513
37,5,360000,0.007,0.007,20.208838819728975
41,15,505000,0.035,0.008,65.0488881403862
50,5,475000,0.041,0.016,87.29864479102724
41,20,360000,0.012,0.013,51.72219209917374
28,20,475000,0.043,0.019,25.863990751010245
25,10,225000,0.029,0.019,7.42091303932563
53,10,85000,0.01,0.01,21.23374515407099
55,15,230000,0.012,0.01,78.20840696712918
57,25,445000,0.008,0.008,258.15447047683455
37,20,480000,0.011,0.013,49.03898001007729
52,5,250000,0.034,0.011,52.26862570922046
42,25,320000,0.014,0.005,58.963700748612794
52,20,410000,0.027,0.011,140.7228449902641
42,15,200000,0.034,0.006,27.86868731151543
46,20,490000,0.041,0.017,114.44696137766456
35,10,465000,0.029,0.019,27.54205695396435
35,5,280000,0.028,0.009,13.498081658919192
19,5,250000,0.042,0.015,7.254446342793636
52,10,500000,0.017,0.006,117.55566126762129
33,25,360000,0.013,0.01,31.941228949151647
58,10,515000,0.04,0.014,195.06683384827892
53,5,115000,0.008,0.007,25.1185967082312
50,15,120000,0.013,0.011,28.497454268282315
21,25,145000,0.021,0.019,5.924728115144083
50,20,240000,0.019,0.007,68.54051024255854
31,15,295000,0.033,0.014,15.501694377188013
38,25,240000,0.009,0.018,31.684596757930976
37,5,145000,0.024,0.017,8.311309749598182
25,5,105000,0.037,0.017,3.2398993220692835
24,15,475000,0.032,0.006,16.66087758137599
20,25,525000,0.03,0.02,21.404866835953637
34,20,520000,0.015,0.016,41.63570067681142
50,20,425000,0.021,0.019,123.88714614315886
29,10,125000,0.012,0.02,4.6389978360787145
39,15,255000,0.025,0.01,26.84943390432801
39,25,550000,0.028,0.013,86.10672688850633
47,15,445000,0.03,0.016,90.38603247173533
55,20,495000,0.04,0.018,225.85651675034242
55,25,240000,0.007,0.02,117.58877532828397
25,5,255000,0.021,0.02,7.784883606960568
44,5,320000,0.029,0.01,36.94227190786743
44,25,250000,0.028,0.015,57.78192587126738
51,15,430000,0.006,0.007,106.87112786903026
38,15,325000,0.013,0.017,30.39202361486323
47,5,170000,0.039,0.007,25.19303097172829
50,5,270000,0.026,0.018,49.073597094458336
45,20,245000,0.022,0.02,50.020838738862295
50,25,430000,0.041,0.006,164.98738806015413
22,15,130000,0.008,0.013,4.1407628198558575
36,20,60000,0.042,0.009,6.311795741364294
21,15,285000,0.006,0.012,8.870368007720312
52,5,360000,0.028,0.009,74.79553593951853
34,25,440000,0.027,0.006,45.52622930640746
45,10,425000,0.031,0.011,63.11692939945813
47,25,165000,0.006,0.008,42.732912985368955
46,10,540000,0.026,0.013,85.88136254129232
23,20,375000,0.01,0.015,13.693725283829258
52,10,445000,0.011,0.011,104.11534851541343
58,10,130000,0.014,0.008,46.78117162693167
54,20,515000,0.03,0.008,208.11501295760843
41,25,530000,0.021,0.005,93.56410753101548
46,20,520000,0.008,0.016,107.91978561827773
48,5,170000,0.017,0.009,26.58070441067159
52,5,290000,0.008,0.02,59.67293485624647
50,10,220000,0.032,0.016,46.82466619786644
38,20,510000,0.027,0.009,60.24334300585255
49,20,345000,0.021,0.007,92.24546118795898
40,20,200000,0.042,0.014,29.58952840495859
50,25,530000,0.026,0.018,190.91714962116802
20,15,150000,0.041,0.014,5.005854808329638
35,15,160000,0.028,0.005,11.703812324111295
42,15,355000,0.02,0.017,48.22197775457877
59,25,480000,0.027,0.019,363.4132992669746
48,20,125000,0.011,0.006,29.894347427209553
20,15,310000,0.032,0.017,10.198410506294795
57,20,315000,0.044,0.016,171.18571179416296
41,10,535000,0.015,0.011,54.85322669548684
49,15,340000,0.018,0.015,76.75376822397882
39,10,395000,0.021,0.007,33.572221233591584
40,25,355000,0.024,0.016,59.16900070312588
19,5,210000,0.034,0.014,6.050603641786759
44,25,260000,0.01,0.006,54.75545199484595
59,25,50000,0.017,0.018,36.15385350857518
19,25,130000,0.027,0.007,4.9001084036218545
43,15,520000,0.029,0.012,78.03424027032958
34,10,430000,0.026,0.007,22.91853189977415
57,15,395000,0.022,0.015,162.1915131429139
50,5,345000,0.033,0.016,62.98984806591944
26,25,510000,0.013,0.019,26.412802141148582
60,20,185000,0.016,0.009,116.9565998792397
56,5,50000,0.023,0.01,13.521423106138233
46,10,135000,0.033,0.011,21.68351520331515
59,5,405000,0.008,0.006,133.20498686706455
43,15,355000,0.01,0.017,50.89474998420262
52,20,460000,0.036,0.006,162.30443151192597
42,15,460000,0.015,0.01,61.12402373929074
41,25,545000,0.044,0.008,107.04166297941208
30,25,245000,0.043,0.015,19.652175441847525
24,5,400000,0.032,0.019,12.143045330077074
53,25,55000,0.034,0.016,25.97023026463993
37,25,525000,0.031,0.017,70.97580256058681
18,10,450000,0.012,0.006,12.504584897600699
25,10,80000,0.025,0.016,2.611428180239235
33,15,195000,0.037,0.006,12.198922490400763
31,15,140000,0.036,0.012,7.401569256426637
29,10,370000,0.041,0.015,14.332041819297103
40,5,80000,0.041,0.009,6.247295783090695
32,10,315000,0.015,0.015,14.075028484738072
45,15,110000,0.034,0.018,19.619157286485716
51,20,395000,0.031,0.018,128.33121332506326
19,25,450000,0.04,0.008,17.903110481965577
49,20,50000,0.012,0.009,12.95471410686422
40,20,285000,0.035,0.015,41.17767392546353
39,25,365000,0.022,0.018,55.68617318909353
42,10,370000,0.021,0.012,42.082211459631786
39,5,215000,0.006,0.019,14.767047961927103
39,20,325000,0.043,0.014,44.421051836939306
59,5,305000,0.032,0.009,102.56873557908392
23,15,230000,0.029,0.005,7.763427971228092
32,20,325000,0.015,0.017,21.872529994202992
60,15,390000,0.031,0.006,208.61170581336103
54,10,410000,0.043,0.006,115.64911872851174
50,20,140000,0.012,0.017,39.40154386180321
25,15,230000,0.044,0.005,8.597384658014532
22,15,170000,0.022,0.018,5.6565491319345655
56,10,340000,0.044,0.014,111.53968562643976
21,5,450000,0.03,0.015,13.491642063123825
23,5,440000,0.018,0.019,13.10414114888882
49,20,105000,0.02,0.018,28.322489709198464
47,10,290000,0.017,0.006,48.40752231788327
52,20,280000,0.018,0.018,93.64331233336455
57,5,190000,0.031,0.015,55.50859735870779
33,10,170000,0.006,0.01,8.046250056290573
30,25,180000,0.044,0.018,14.491757545863477
59,10,290000,0.036,0.005,117.10364520325038
47,10,360000,0.043,0.018,63.63641193111383
36,25,520000,0.034,0.014,65.65429017601957
34,15,490000,0.024,0.009,32.45088340084545
36,15,70000,0.013,0.005,5.375973647806934
45,15,500000,0.026,0.013,86.82656357134127
43,5,285000,0.033,0.011,30.06955757292345
54,10,180000,0.039,0.018,51.06857233852394
43,25,545000,0.018,0.017,111.67045363982876
40,5,340000,0.025,0.014,26.266616642594848
26,25,160000,0.03,0.007,8.924936640017858
29,5,105000,0.029,0.016,3.5388129366510395
18,5,160000,0.007,0.014,4.195029080198659
18,5,470000,0.024,0.005,12.42973990241263
51,25,350000,0.037,0.016,142.9241668647768
49,20,90000,0.037,0.017,25.733726642779462
42,5,185000,0.025,0.017,17.619426630824325
57,15,410000,0.043,0.008,176.66261954344924
18,10,485000,0.038,0.013,14.19241389241489
33,20,80000,0.034,0.013,6.303348405447365
56,20,345000,0.026,0.019,162.5746677678408
22,25,365000,0.029,0.019,16.118840167326088
39,20,240000,0.014,0.006,29.247092528434738
46,25,365000,0.026,0.02,97.40262752686165
20,25,160000,0.026,0.017,6.3855952857253175
29,15,215000,0.013,0.011,9.224001159112127
43,5,470000,0.043,0.016,50.158718513775526
33,20,320000,0.015,0.011,23.385280341849683
54,5,140000,0.009,0.019,32.99736321896422
39,5,510000,0.024,0.011,35.41047654297144
46,5,240000,0.032,0.016,33.003168804206375
31,25,105000,0.013,0.007,7.883549913644892
45,5,245000,0.012,0.018,30.593823186527704
22,20,175000,0.015,0.014,6.265165543344639
47,25,535000,0.017,0.017,147.3448619920578
22,20,330000,0.015,0.011,11.740991136258147
29,25,495000,0.024,0.01,33.55615014398525
33,10,345000,0.006,0.013,16.381190126711534
43,10,235000,0.009,0.011,28.529281511639983
43,10,90000,0.034,0.013,11.445878725137028
38,10,475000,0.021,0.011,36.68695806078599
56,25,50000,0.019,0.008,28.15034102410303
53,5,535000,0.005,0.02,117.56185903836486
50,15,140000,0.017,0.005,33.34264953348898
47,15,355000,0.038,0.019,73.84410325134445
54,10,55000,0.019,0.017,15.070332320887063
40,5,180000,0.044,0.011,14.108827854189515
27,20,325000,0.021,0.01,15.144107546048147
22,5,530000,0.024,0.007,15.70829656860671
53,20,355000,0.037,0.007,135.89731888153446
51,15,125000,0.044,0.013,34.61776040350912
48,5,80000,0.02,0.007,12.523829002496068
27,5,335000,0.01,0.012,10.518540588717203
36,15,535000,0.026,0.017,43.14331544264825
49,5,50000,0.029,0.016,8.498118717832286
18,20,325000,0.043,0.007,11.064900706506847
22,5,470000,0.022,0.019,14.032568194119547
21,20,190000,0.009,0.009,6.398533368743024
33,10,205000,0.031,0.016,10.210655946119132
41,5,345000,0.006,0.01,29.061984224524647
33,20,465000,0.022,0.014,35.014465737372895
19,15,190000,0.021,0.014,5.929953698963644
45,10,530000,0.015,0.008,76.28735930918096
49,5,265000,0.044,0.015,45.57144433041903
44,20,510000,0.021,0.01,95.26921733637144
37,5,505000,0.041,0.014,29.313008356998363
41,20,130000,0.026,0.013,19.68888244790906
29,5,285000,0.038,0.018,9.688328781544612
52,10,500000,0.023,0.008,119.06086545865386
50,10,80000,0.045,0.007,17.23758980175864
50,5,545000,0.031,0.018,99.46744835744099
60,5,420000,0.011,0.012,150.09696891868404
54,25,450000,0.005,0.017,200.96631435062048
29,5,265000,0.042,0.019,9.043369911476299
20,5,195000,0.032,0.013,5.79190741146119
18,10,325000,0.009,0.01,9.035719718833777
50,5,65000,0.035,0.017,11.894818655999774
57,15,170000,0.014,0.019,68.60258205801833
27,5,300000,0.037,0.009,9.607137562349832
60,25,130000,0.029,0.015,108.73827580946046
46,20,330000,0.01,0.017,69.09400738368971
30,10,125000,0.008,0.005,4.769441747473644
29,15,55000,0.024,0.014,2.4409680496148614
48,20,70000,0.042,0.014,18.882062870170838
19,15,260000,0.028,0.015,8.263994953624337
52,10,290000,0.035,0.006,70.33753380742812
40,25,420000,0.024,0.005,69.55689864178578
34,10,280000,0.02,0.009,14.791902918311045
43,15,170000,0.038,0.01,26.063529205003874
25,15,525000,0.024,0.007,18.737785288494756
46,10,230000,0.011,0.013,35.632088296306
43,5,385000,0.016,0.008,39.958487863544775
27,10,365000,0.027,0.01,12.608846041735122
43,25,355000,0.021,0.009,73.33595303501791
51,10,365000,0.02,0.017,81.572904021052
58,20,170000,0.032,0.018,96.49052543180406
24,5,270000,0.03,0.009,8.12504766813136
21,20,475000,0.018,0.011,16.567058147496002
28,10,340000,0.019,0.017,12.155213248690323
46,5,340000,0.035,0.016,46.87125514571059
53,20,405000,0.042,0.016,158.79605415742284
42,20,425000,0.018,0.016,67.85610842435864
38,5,430000,0.017,0.009,26.80221191973342
53,5,370000,0.016,0.019,82.00624474685999
27,15,385000,0.011,0.017,14.767390280034887
54,5,215000,0.02,0.008,50.77737459596051
26,10,115000,0.026,0.015,3.8623207646025066
41,25,260000,0.026,0.007,47.079827954110264
52,15,380000,0.033,0.014,110.0540622576519
52,5,365000,0.007,0.009,74.50299241611037
53,25,125000,0.027,0.007,57.10637840158119
35,15,195000,0.015,0.014,13.854585004899514
56,10,435000,0.015,0.018,136.3965356602234
49,25,265000,0.037,0.007,92.5125317299256
41,5,445000,0.011,0.018,37.83357430593679
40,5,325000,0.018,0.007,24.85128705839644
49,10,505000,0.031,0.016,100.24978384400521
54,15,460000,0.031,0.02,154.44101001548307
29,25,230000,0.007,0.006,14.244141722276352
30,10,515000,0.008,0.008,19.7202914738761
40,15,260000,0.031,0.012,30.496338237475047
42,20,135000,0.043,0.016,23.545271840411342
52,20,385000,0.045,0.018,141.3982048187852
58,15,300000,0.044,0.016,141.60498369434256
47,5,495000,0.019,0.017,72.6060054609769
34,5,440000,0.015,0.012,19.44050289295248
37,20,355000,0.009,0.01,35.87823919415529
42,5,510000,0.018,0.013,48.1648612550208
39,5,460000,0.016,0.015,31.794358888820035
30,15,315000,0.028,0.013,15.11534423864355
36,15,250000,0.02,0.017,19.821800823829815
53,5,300000,0.014,0.007,65.86130064719332
29,15,325000,0.03,0.011,14.602396793510144
58,25,395000,0.018,0.006,262.7991236683428
36,20,270000,0.019,0.015,26.145300444501938
29,25,455000,0.029,0.016,31.63268078704076
26,25,180000,0.01,0.015,9.155094265539509
24,5,130000,0.036,0.019,3.9589767780103524
45,5,180000,0.044,0.019,23.102796588148014
31,25,300000,0.025,0.009,23.977646517181782
48,25,130000,0.027,0.009,40.23398467289154
36,10,435000,0.02,0.005,27.457933066665415
33,10,195000,0.043,0.013,9.88785593538252
22,20,265000,0.01,0.018,9.40486306153765
52,25,125000,0.038,0.007,55.41829443209476
29,15,415000,0.031,0.014,18.763305686334242
42,10,120000,0.037,0.016,14.092772927295274
38,5,485000,0.043,0.011,30.94930820089867
53,25,475000,0.025,0.016,215.41953829775986
40,15,400000,0.017,0.018,45.418315845078084
33,15,455000,0.036,0.005,28.359818752260885
56,15,215000,0.039,0.016,85.39104561848946
59,5,265000,0.032,0.014,89.39804626255668
56,10,220000,0.039,0.018,71.86075577297828
31,15,170000,0.034,0.007,8.894202261351348
48,10,475000,0.043,0.017,89.92802730186662
22,20,240000,0.028,0.007,8.849819085154293
52,5,185000,0.02,0.014,38.303968347108345
40,10,350000,0.032,0.009,33.55191136315042
46,10,115000,0.008,0.009,17.64135961102344
60,15,490000,0.025,0.012,259.40300064277415
28,15,305000,0.036,0.016,13.160070688405392
35,5,175000,0.012,0.015,8.353854080773985
29,10,390000,0.021,0.02,14.696709807928206
26,25,130000,0.019,0.007,6.87377006874256
27,15,490000,0.018,0.016,19.115793754019503
34,15,325000,0.031,0.006,21.89555695233332
55,20,280000,0.025,0.01,120.48099928902735
24,5,485000,0.037,0.01,14.687208322205006
30,10,125000,0.007,0.009,4.7835867245316965
57,10,345000,0.023,0.013,117.45289800140546
59,10,210000,0.006,0.009,80.73556655033852
26,15,535000,0.014,0.011,19.540833521727297
44,5,175000,0.036,0.018,20.422015199854197
19,10,115000,0.009,0.01,3.3325916272026994
22,25,375000,0.009,0.02,15.20120375578059
46,20,355000,0.021,0.009,76.65850207922722
54,20,530000,0.036,0.019,220.58284230971884
55,10,235000,0.031,0.011,70.02306386379857
36,15,330000,0.036,0.019,27.399351907939185
25,20,500000,0.007,0.011,19.644015687926835
18,20,220000,0.028,0.017,7.316937650028749
39,20,80000,0.023,0.011,10.14533392166027
34,20,260000,0.041,0.014,22.95419748992442
24,10,505000,0.034,0.006,16.149931653448824
42,5,290000,0.022,0.014,27.49912176930224
21,5,480000,0.027,0.01,14.30388047568999
53,15,500000,0.022,0.02,152.36368415576285
23,25,330000,0.023,0.017,14.895748256077997
48,5,450000,0.03,0.006,70.99449274110718
36,25,540000,0.014,0.008,61.72726111130295
56,5,405000,0.018,0.014,109.35062254546236
44,5,300000,0.016,0.01,34.25074031156345
27,15,505000,0.037,0.008,20.44981907798863
43,20,315000,0.043,0.01,59.01210777098711
36,15,215000,0.022,0.007,16.987874269233288
56,5,530000,0.008,0.013,141.8091049288632
20,20,335000,0.009,0.009,10.97903029609123
30,20,535000,0.021,0.018,31.251610128437914
45,20,350000,0.021,0.005,69.95074701173108
37,25,235000,0.011,0.01,28.739909613723416
45,5,360000,0.037,0.013,45.76899523204508
25,10,365000,0.025,0.009,11.803269794979899
58,15,75000,0.009,0.006,31.891429362715428
56,25,70000,0.009,0.006,37.45881809820757
18,15,80000,0.023,0.007,2.3924077775024077
20,10,415000,0.01,0.009,12.284118707039493
30,20,540000,0.027,0.016,32.222889512654724
45,10,315000,0.02,0.012,45.94346752824051
42,15,255000,0.042,0.005,36.2545865084454
50,10,210000,0.022,0.007,43.50856975758994
55,5,485000,0.03,0.011,123.62590891321497
23,10,470000,0.037,0.011,14.963767383202702
49,5,530000,0.017,0.006,88.60102127938485
38,10,455000,0.025,0.007,35.273391687810545
